Distribution,Param_1,Param_2,Param_3
Normal,0.0005041871275329441,0.010920933780357842,
Student-t,2.6805618322301354,0.0009432829756795927,0.006222264724499489
Skew-Normal,-1.0975617037747782,0.008291173445213173,0.013411228141377133
