,log_return
1,-0.0001638815680742
2,-0.0029020753727594
3,0.0061229509345802
4,0.0002181745314034
5,0.0006536260429539
6,0.0027185982041408
7,-0.0133943289608769
8,0.0108389430358846
9,0.0053755793252127
10,-0.001300655119768
11,-0.0042381364845931
12,0.00293568574071
13,0.0006513865938124
14,-0.008226487721672
15,-0.021566943763965
16,-0.0049312723612838
17,0.0059367531848003
18,-0.009651654184524
19,0.010544915392717
20,-0.0058759201362688
21,-0.0227624712013403
22,0.0069802912690377
23,-0.0012551121166793
24,0.0131012351153936
25,0.0123195485942058
26,0.0018347242313542
27,0.0108841664415294
28,0.0004950507888376
29,0.0051494073914291
30,0.0055033422095753
31,0.0011948882918256
32,-0.0066435679103254
33,0.0058835994422941
34,-0.0011413932813192
35,0.0055311824839324
36,-0.0003787886510031
37,5.442549457716269e-05
38,0.0052339900989766
39,0.0025263594449468
40,-0.0070572398859827
41,0.0139577658465488
42,0.0009059391741672
43,0.0022874967895834
44,0.0004254067630572
45,-0.0005314382576963
46,-0.0049552793676738
47,0.0002673244946084
48,-0.0112764648975763
49,-0.002812059936249
50,0.0090031315404697
51,0.0071122116975231
52,-0.005342910013514
53,0.0058225811874676
54,-0.0038863991675196
55,-0.0041435459272616
56,0.0047343823324403
57,-0.0072182486335738
58,-0.0021109388996302
59,0.0049182415782881
60,0.0081608163877267
61,0.0066089595833599
62,0.0033408567822737
63,-0.0013244233400236
64,-0.0118924388530917
65,-0.0111129740285909
66,0.0041149946684754
67,0.0106929071639156
68,-0.0212294560387788
69,-0.0090493550491474
70,0.0078470943610527
71,0.0068634461802597
72,0.0104236679597399
73,0.0013963393229804
74,0.0034810454622478
75,0.0045343104656253
76,-0.0023448314776746
77,0.0020253285730205
78,-0.0082325680678474
79,0.0031618839606312
80,0.0046445876074938
81,0.0029783745561656
82,0.0001063728742646
83,-0.0014349066081047
84,0.0019122566738275
85,-0.0087421923722981
86,0.0058722854255983
87,-0.001065198824745
88,0.0014909013159554
89,0.0096888943890074
90,0.0008953897166512
91,-0.0047490546530668
92,-0.0088188600709523
93,0.0034626145625081
94,0.003662466860292
95,-0.0063250817382978
96,0.0083890478245746
97,0.0024291024599461
98,0.0040009793166756
99,0.0061276424829864
100,-0.0007312675854197
101,0.0051598437669963
102,0.0016099588780902
103,0.0011410372020865
104,-0.0005183071888326
105,0.0020205468205464
106,0.0065010508825989
107,0.0047711410752421
108,0.0010229542512497
109,0.0001025144311415
110,-0.0034825963349696
111,-0.0071048073727025
112,0.0030438122547018
113,0.000823829916218
114,0.0027754498560167
115,0.0073127574027565
116,0.0011202352354486
117,0.0020285004052404
118,-0.0003065241872766
119,-0.0060421748900607
120,0.0045094717851254
121,-0.0007156102795926
122,0.0019418848034238
123,-0.0005103223760808
124,0.0066705875337395
125,0.0010147334008243
126,0.0049060968389418
127,-0.0034877052446696
128,-0.0064507377109674
129,0.0044744455105824
130,-0.00396519123365
131,0.0013744006640348
132,0.0050227116954254
133,-0.0018740205196975
134,0.0036944630775094
135,-0.0114311910034164
136,0.0101672943069133
137,-0.0018730709202701
138,0.0043486013782054
139,0.0022176941907548
140,4.999460573269176e-05
141,-0.0046926139269105
142,0.0004044689129173
143,-0.0043064239167552
144,0.0001520170989649
145,-0.0199454039609294
146,-0.0030601764559289
147,0.0071946102042928
148,-0.0097436321957294
149,0.000312797932671
150,-0.0054299317937509
151,0.0115027157241908
152,0.0028940842783747
153,-0.0013945339967632
154,0.0067463926151142
155,0.0047104176030454
156,-0.0002038946927964
157,0.0083441201712194
158,0.0052055182835267
159,0.0026675238141199
160,0.0029118726615499
161,-0.001555192815899
162,0.0050576821693336
163,0.0006493997266714
164,-0.0003996377363107
165,-0.0005495772950663
166,0.0028439289849634
167,-0.0004984411790438
168,-0.0005481280020715
169,-0.001447197697287
170,0.0044845893548859
171,-0.0025889261864356
172,-0.0063512801041981
173,0.0037559123246272
174,0.0011488194245109
175,-0.0058585727502886
176,-0.0007535037111732
177,0.0075103495763993
178,0.0013457598526896
179,0.0053158865840221
180,-0.0009012362102691
181,-0.0077532266096298
182,-0.0057408024087159
183,0.0077973204253251
184,-0.016267036867137
185,0.00791407943516
186,-0.0018206524978096
187,-0.0026359681648584
188,-0.0136445690511093
189,0.0001542844671161
190,0.0109492713595759
191,-0.0011708438853824
192,-0.0155568810468926
193,0.0173382850085086
194,-0.02003270903109
195,-0.0114800222803167
196,-0.0165631626936651
197,0.0015462584589135
198,-0.0067894416485912
199,-0.0008582416607806
200,0.0117415461587407
201,0.00966280641981
202,0.0196171417503346
203,-0.007136322771242
204,0.011558075822922
205,0.0076653465777741
206,-0.0013753785352709
207,0.0114045953779476
208,-0.0015128141236508
209,0.0063899674001507
210,0.0113708889963104
211,0.0005453713052057
212,-0.0034753474616878
213,0.0062961020505999
214,0.0039951474238103
215,0.0009349882957624
216,0.0031422742040533
217,0.0009802333091737
218,-0.0010781555062167
219,0.0011269293132622
220,0.0002450998699235
221,0.0006364000502193
222,0.0057570005103882
223,-0.0016068791038648
224,0.0017526676575103
225,0.0053362898690096
226,0.0028026905410603
227,-0.0007238672500854
228,0.0025557615788033
229,-0.0021213961882727
230,-0.0069742055220782
231,0.0064433979082824
232,0.0038556073057459
233,-0.0011073946640279
234,0.0016362490021329
235,-0.0067049102604256
236,-0.0006784468943927
237,-0.0161610400888444
238,0.0050569756789157
239,-0.0162932169647035
240,-0.0068935849875443
241,-0.0080516931488138
242,0.0194152168735394
243,0.0244279145642994
244,0.0042457354487988
245,0.0045897389924696
246,0.0013483328308686
247,9.640420290883097e-05
248,0.0032196859378467
249,0.0013421505271573
250,-0.0053803294070144
251,-0.0099722379064102
252,-0.0005358250877523
253,-0.018224395520958
254,-0.0094635056061818
255,0.0123836695781769
256,0.0175898602414891
257,-0.0080458713365452
258,-0.0078646493594968
259,-0.0028160472997874
260,-0.0060560615326579
261,-0.0092026295840884
262,0.0130287822811172
263,0.0021303353872842
264,0.0050353354701144
265,0.0147617463036159
266,-0.0054981261121201
267,0.0023393182915214
268,-0.0132784471941693
269,-0.0129072208942899
270,0.0092009467793764
271,-0.0126544277762457
272,0.012308406366142
273,0.0143571422968546
274,-0.0038149750988174
275,0.0100442026751645
276,-0.0027692887250489
277,-0.0044852540096542
278,0.0105967234498423
279,0.0005797589503957
280,0.0095713327069874
281,0.0041077570060887
282,0.0015716638523855
283,9.523396013480684e-05
284,-0.0007143446047959
285,0.0059830067899154
286,-0.0001422341154185
287,0.0028368549642369
288,-0.0008502812571968
289,-0.0011818909021674
290,-0.0034118003110688
291,0.0062932713253373
292,-0.0041123683324454
293,-0.004224354560967
