Date,Adj Close,Close,High,Low,Open,Volume
0,2014-01-02,148.98602294921875,182.9199981689453,184.07000732421875,182.47999572753906,183.97999572753906,119636900
1,2014-01-03,148.96160888671875,182.88999938964844,183.60000610351562,182.6300048828125,183.22999572753906,81390600
2,2014-01-06,148.52993774414062,182.36000061035156,183.55999755859375,182.0800018310547,183.49000549316406,108028200
3,2014-01-07,149.44216918945312,183.47999572753906,183.7899932861328,182.9499969482422,183.08999633789062,86144200
4,2014-01-08,149.4747772216797,183.52000427246094,183.8300018310547,182.88999938964844,183.4499969482422,96582300
5,2014-01-09,149.572509765625,183.63999938964844,184.1300048828125,182.8000030517578,184.11000061035156,90683400
6,2014-01-10,149.9796905517578,184.13999938964844,184.22000122070312,183.00999450683594,183.9499969482422,102026400
7,2014-01-13,147.9842071533203,181.69000244140625,184.17999267578125,181.33999633789062,183.6699981689453,149892000
8,2014-01-14,149.596923828125,183.6699981689453,183.77000427246094,181.9499969482422,182.2899932861328,105016100
9,2014-01-15,150.40325927734375,184.66000366210938,184.94000244140625,183.7100067138672,184.10000610351562,98525800
10,2014-01-16,150.207763671875,184.4199981689453,184.66000366210938,183.8300018310547,184.27999877929688,72290600
11,2014-01-17,149.572509765625,183.63999938964844,184.4499969482422,183.32000732421875,184.10000610351562,107848700
12,2014-01-21,150.0122528076172,184.17999267578125,184.77000427246094,183.0500030517578,184.6999969482422,88621200
13,2014-01-22,150.11000061035156,184.3000030517578,184.57000732421875,183.91000366210938,184.49000549316406,61270900
14,2014-01-23,148.88018798828125,182.7899932861328,183.39999389648438,181.82000732421875,183.3699951171875,132496900
15,2014-01-24,145.70367431640625,178.88999938964844,181.66000366210938,178.8300018310547,181.60000610351562,208677100
16,2014-01-27,144.9869384765625,178.00999450683594,179.52000427246094,177.1199951171875,179.05999755859375,180843100
17,2014-01-28,145.85025024414062,179.07000732421875,179.3000030517578,178.1199951171875,178.13999938964844,110463200
18,2014-01-29,144.44932556152344,177.35000610351562,178.5500030517578,176.8800048828125,177.5800018310547,216597300
19,2014-01-30,145.9805908203125,179.22999572753906,179.80999755859375,178.25999450683594,178.8300018310547,118938100
20,2014-01-31,145.12533569335938,178.17999267578125,179.2899932861328,176.9199981689453,177.00999450683594,194677900
21,2014-02-03,141.85923767089844,174.1699981689453,178.3699951171875,173.8300018310547,177.97000122070312,254837100
22,2014-02-04,142.85292053222656,175.38999938964844,175.83999633789062,174.11000061035156,174.9499969482422,165012400
23,2014-02-05,142.67373657226562,175.1699981689453,175.55999755859375,173.7100067138672,174.77999877929688,164230500
24,2014-02-06,144.55523681640625,177.47999572753906,177.47999572753906,175.22000122070312,175.5800018310547,132877600
25,2014-02-07,146.34710693359375,179.67999267578125,179.8699951171875,177.72999572753906,178.30999755859375,170787200
26,2014-02-10,146.61585998535156,180.00999450683594,180.07000732421875,179.2100067138672,179.6999969482422,92218800
27,2014-02-11,148.22036743164062,181.97999572753906,182.44000244140625,180.0399932861328,180.16000366210938,117814100
28,2014-02-12,148.29376220703125,182.07000732421875,182.8300018310547,181.7100067138672,182.25,94717700
29,2014-02-13,149.05935668945312,183.00999450683594,183.1999969482422,180.8300018310547,180.83999633789062,100542200
30,2014-02-14,149.88194274902344,184.02000427246094,184.36000061035156,182.6699981689453,182.83999633789062,96498400
31,2014-02-18,150.06114196777344,184.24000549316406,184.49000549316406,183.64999389648438,184.17999267578125,80460900
32,2014-02-19,149.0675048828125,183.02000427246094,184.9499969482422,182.8699951171875,183.75999450683594,126524300
33,2014-02-20,149.9471435546875,184.10000610351562,184.52000427246094,182.60000610351562,183.27000427246094,104998100
34,2014-02-21,149.77609252929688,183.88999938964844,184.88999938964844,183.8000030517578,184.4499969482422,118116400
35,2014-02-24,150.60682678222656,184.91000366210938,186.14999389648438,184.1999969482422,184.27999877929688,114063900
36,2014-02-25,150.54978942871094,184.83999633789062,185.58999633789062,184.22999572753906,185.05999755859375,117085000
37,2014-02-26,150.5579833984375,184.85000610351562,185.60000610351562,184.3300018310547,185.11000061035156,98677200
38,2014-02-27,151.3480682373047,185.82000732421875,185.8699951171875,184.3699951171875,184.5800018310547,93880800
39,2014-02-28,151.7309112548828,186.2899932861328,187.14999389648438,185.0500030517578,185.7899932861328,150842000
40,2014-03-03,150.66387939453125,184.97999572753906,185.4499969482422,183.75,184.64999389648438,167748500
41,2014-03-04,152.78155517578125,187.5800018310547,187.97999572753906,186.75,186.7899932861328,167545900
42,2014-03-05,152.92002868652344,187.75,188.07000732421875,187.4499969482422,187.74000549316406,88376900
43,2014-03-06,153.27023315429688,188.17999267578125,188.61000061035156,187.77999877929688,188.2100067138672,82516500
44,2014-03-07,153.33544921875,188.25999450683594,188.9600067138672,187.42999267578125,188.9600067138672,114513500
45,2014-03-10,153.2539825439453,188.16000366210938,188.22999572753906,187.0800018310547,187.97000122070312,74939200
46,2014-03-11,152.49644470214844,187.22999572753906,188.7100067138672,186.8000030517578,188.44000244140625,99009100
47,2014-03-12,152.53721618652344,187.27999877929688,187.35000610351562,185.89999389648438,186.32000732421875,104824400
48,2014-03-13,150.82679748535156,185.17999267578125,187.99000549316406,184.66000366210938,187.83999633789062,155014300
49,2014-03-14,150.40325927734375,184.66000366210938,185.8000030517578,184.44000244140625,184.85000610351562,153919600
50,2014-03-17,151.7634735107422,186.3300018310547,186.77000427246094,185.50999450683594,185.58999633789062,98359500
51,2014-03-18,152.84669494628906,187.66000366210938,187.91000366210938,186.50999450683594,186.7100067138672,101804600
52,2014-03-19,152.0322265625,186.66000366210938,187.94000244140625,185.47000122070312,187.67999267578125,176267300
53,2014-03-20,152.92002868652344,187.75,187.88999938964844,185.9199981689453,186.25,117241000
54,2014-03-21,152.32687377929688,186.1999969482422,189.02000427246094,186.02999877929688,187.7100067138672,163128000
55,2014-03-24,151.69700622558594,185.42999267578125,187.07000732421875,184.6199951171875,186.83999633789062,121411000
56,2014-03-25,152.41690063476562,186.30999755859375,186.94000244140625,185.27000427246094,186.3699951171875,103852000
57,2014-03-26,151.3206787109375,184.97000122070312,187.33999633789062,184.9199981689453,187.0399932861328,119843000
58,2014-03-27,151.0015869140625,184.5800018310547,185.33999633789062,183.89999389648438,184.75,142383000
59,2014-03-28,151.74607849121094,185.49000549316406,186.4199981689453,185.0,185.11000061035156,101642000
60,2014-03-31,152.98951721191406,187.00999450683594,187.3000030517578,185.52000427246094,186.6699981689453,99745000
61,2014-04-01,154.00396728515625,188.25,188.36000061035156,187.0,187.6199951171875,89193000
62,2014-04-02,154.5193328857422,188.8800048828125,189.1300048828125,188.13999938964844,188.49000549316406,78774000
63,2014-04-03,154.3148193359375,188.6300048828125,189.22000122070312,188.0500030517578,189.1699981689453,77435000
64,2014-04-04,152.49050903320312,186.39999389648438,189.6999969482422,186.10000610351562,189.66000366210938,169381000
65,2014-04-07,150.80526733398438,184.33999633789062,186.25999450683594,183.9600067138672,185.9499969482422,140803000
66,2014-04-08,151.42710876464844,185.10000610351562,185.39999389648438,183.58999633789062,184.25999450683594,112660000
67,2014-04-09,153.05499267578125,187.08999633789062,187.14999389648438,185.05999755859375,185.60000610351562,100254000
68,2014-04-10,149.8399658203125,183.16000366210938,187.1699981689453,182.92999267578125,187.0800018310547,172959000
69,2014-04-11,148.49012756347656,181.50999450683594,183.4199981689453,181.30999755859375,182.13999938964844,167251000
70,2014-04-14,149.65992736816406,182.94000244140625,183.3699951171875,181.44000244140625,182.92999267578125,132382000
71,2014-04-15,150.69064331054688,184.1999969482422,184.3300018310547,181.50999450683594,183.32000732421875,157093000
72,2014-04-16,152.2696075439453,186.1300048828125,186.13999938964844,184.64999389648438,185.47000122070312,105197000
73,2014-04-17,152.4823760986328,186.38999938964844,186.91000366210938,185.55999755859375,185.8800048828125,105255000
74,2014-04-21,153.01409912109375,187.0399932861328,187.10000610351562,186.2100067138672,186.44000244140625,68329000
75,2014-04-22,153.70948791503906,187.88999938964844,188.39999389648438,187.1300048828125,187.22999572753906,85790000
76,2014-04-23,153.3494873046875,187.4499969482422,187.9199981689453,187.3000030517578,187.82000732421875,73869000
77,2014-04-24,153.66038513183594,187.8300018310547,188.38999938964844,186.92999267578125,188.3699951171875,88170000
78,2014-04-25,152.4005584716797,186.2899932861328,187.3300018310547,185.8699951171875,187.22000122070312,100380000
79,2014-04-28,152.88319396972656,186.8800048828125,187.69000244140625,184.9600067138672,187.0500030517578,135121000
80,2014-04-29,153.5949249267578,187.75,188.0399932861328,187.0800018310547,187.47999572753906,84098000
81,2014-04-30,154.05307006835938,188.30999755859375,188.5,187.17999267578125,187.44000244140625,101508000
82,2014-05-01,154.0694580078125,188.3300018310547,188.83999633789062,187.72999572753906,188.22000122070312,93019000
83,2014-05-02,153.84854125976562,188.05999755859375,189.13999938964844,187.77999877929688,188.30999755859375,98122000
84,2014-05-05,154.1430206298828,188.4199981689453,188.5500030517578,186.6199951171875,187.13999938964844,75883000
85,2014-05-06,152.8013458251953,186.77999877929688,188.1300048828125,186.74000549316406,188.0,85454000
