Metric,Value
Mean Daily Return,0.0005041871275329488
Std Daily Return,0.010920933780357875
Variance Daily Return,0.00011926679463496173
Skewness,-0.5884382093219722
Kurtosis,17.91381305757181
Min Daily Return,-0.11588649014373882
Max Daily Return,0.0998628357094885
Annualized Return,0.12705515613830312
Annualized Volatility,0.17336444920458854
1% Quantile Return,-0.030807991175659417
5% Quantile Return,-0.01652371853423578
