Date,Actual Return,VaR Normal,VaR t-Distribution,VaR Skewed Normal
1001,0.0020571848294438,-0.017250266826392417,-0.02231057630740073,-0.018470894059276613
1002,-0.0002614570006661,-0.01724837661317611,-0.02230254019735605,-0.01847031284222159
1003,-0.0011965562624454,-0.017244084906245634,-0.022324238690106902,-0.018467638921000788
1004,0.0004864778029827,-0.017246917670671595,-0.022373244065572794,-0.01846503534005173
1005,0.0020550194945536,-0.01724664083347316,-0.022373592055471424,-0.0184651575509965
1006,-0.0037775810337501,-0.01724562420060123,-0.02236489406721193,-0.018464812336631366
1007,0.0071318480749118,-0.017254076411741967,-0.022349763734465875,-0.01846851828078752
1008,0.0063055021680099,-0.017210971591454686,-0.02226902438098333,-0.01842364863269657
1009,0.004205663960698,-0.01720424793727157,-0.022259801503647113,-0.018417741621537045
1010,0.0066418266723967,-0.017203867040736325,-0.022272582202578706,-0.018416873224735387
1011,0.0018270792351678,-0.017201281985154512,-0.022222254364387076,-0.01842023066661249
1012,0.0022610753670522,-0.017192088603163236,-0.02225034269976488,-0.01841503136258127
1013,-0.0015312025790821,-0.017192325090591258,-0.022257744433100024,-0.018414921080822398
1014,0.0072698905039459,-0.01719512206749982,-0.022248801359507846,-0.018415559306249232
1015,0.0064976136151332,-0.01717504903302658,-0.02222628675225531,-0.018402103125952335
1016,-0.003424162678211,-0.01707765026691673,-0.022018221611706003,-0.01827529794819984
1017,0.0094865272531122,-0.017073962866389947,-0.022028908546355176,-0.018271699825792215
1018,-0.0016822751163388,-0.01707826626093794,-0.022025588636558464,-0.018276297186896683
1019,0.0045391289239657,-0.017055093112796627,-0.022040197486058066,-0.01825138767064482
1020,0.0080982956818331,-0.017048125209830223,-0.022049945210689533,-0.0182440008071788
1021,0.00212051917272,-0.017036633207693004,-0.02203104998043205,-0.01823983502528614
1022,-0.0003887113109363,-0.01692815554377866,-0.021849769660045745,-0.01809317051641336
