Model,Breaches,Observed Rate,LR Statistic,p-value
Normal,55,0.02693437806072478,40.424928625685965,2.043174518462365e-10
Student-t,32,0.015670910871694418,5.656609255733439,0.017389710449560503
Skew-Normal,48,0.023506366307541625,27.2678661753404,1.7713080846526452e-07
