,Date,Adj Close,Close,High,Low,Open,Volume,simple_return,log_return
1,2014-01-03,148.96160888671875,182.88999938964844,183.6000061035156,182.6300048828125,183.22999572753903,81390600,-0.00016386814022362195,-0.00016388156807426344
2,2014-01-06,148.52993774414062,182.3600006103516,183.55999755859372,182.0800018310547,183.4900054931641,108028200,-0.0028978684226376172,-0.0029020753727594176
3,2014-01-07,149.44216918945312,183.47999572753903,183.7899932861328,182.9499969482422,183.08999633789065,86144200,0.006141734516067254,0.006122950934580278
4,2014-01-08,149.4747772216797,183.5200042724609,183.8300018310547,182.88999938964844,183.4499969482422,96582300,0.0002181983331974724,0.00021817453140344557
5,2014-01-09,149.572509765625,183.63999938964844,184.1300048828125,182.8000030517578,184.1100006103516,90683400,0.0006538397030046994,0.0006536260429539634
6,2014-01-10,149.9796905517578,184.13999938964844,184.22000122070312,183.00999450683597,183.9499969482422,102026400,0.002722296943274305,0.0027185982041408236
7,2014-01-13,147.9842071533203,181.69000244140625,184.17999267578125,181.33999633789065,183.6699981689453,149892000,-0.013305024107573171,-0.013394328960876986
8,2014-01-14,149.596923828125,183.6699981689453,183.7700042724609,181.9499969482422,182.2899932861328,105016100,0.01089789718664913,0.010838943035884606
9,2014-01-15,150.40325927734375,184.66000366210935,184.94000244140625,183.7100067138672,184.1000061035156,98525800,0.005390053676138207,0.005375579325212769
10,2014-01-16,150.207763671875,184.4199981689453,184.66000366210935,183.8300018310547,184.27999877929688,72290600,-0.0012998096344990495,-0.0013006551197680303
11,2014-01-17,149.572509765625,183.63999938964844,184.4499969482422,183.32000732421875,184.1000061035156,107848700,-0.004229168258158,-0.004238136484593136
12,2014-01-21,150.0122528076172,184.17999267578125,184.7700042724609,183.0500030517578,184.6999969482422,88621200,0.002939999085936673,0.0029356857407100093
13,2014-01-22,150.11000061035156,184.3000030517578,184.57000732421875,183.91000366210935,184.4900054931641,61270900,0.0006515987921316135,0.0006513865938124353
14,2014-01-23,148.88018798828125,182.7899932861328,183.3999938964844,181.82000732421875,183.3699951171875,132496900,-0.008192742769101757,-0.008226487721672069
15,2014-01-24,145.70367431640625,178.88999938964844,181.66000366210935,178.8300018310547,181.6000061035156,208677100,-0.02133604017295454,-0.021566943763965098
16,2014-01-27,144.9869384765625,178.00999450683594,179.52000427246094,177.1199951171875,179.05999755859375,180843100,-0.004919133599110892,-0.004931272361283821
17,2014-01-28,145.85025024414062,179.07000732421875,179.3000030517578,178.1199951171875,178.13999938964844,110463200,0.005954410629325002,0.005936753184800364
18,2014-01-29,144.44932556152344,177.35000610351562,178.5500030517578,176.8800048828125,177.5800018310547,216597300,-0.009605226458454186,-0.009651654184524051
19,2014-01-30,145.9805908203125,179.22999572753906,179.80999755859375,178.25999450683594,178.8300018310547,118938100,0.010600708953375282,0.010544915392717078
20,2014-01-31,145.12533569335938,178.17999267578125,179.2899932861328,176.9199981689453,177.00999450683594,194677900,-0.005858690680364931,-0.005875920136268802
21,2014-02-03,141.85923767089844,174.1699981689453,178.3699951171875,173.8300018310547,177.97000122070312,254837100,-0.022505360672253616,-0.022762471201340312
22,2014-02-04,142.85292053222656,175.38999938964844,175.83999633789062,174.11000061035156,174.9499969482422,165012400,0.007004710286357074,0.006980291269037778
23,2014-02-05,142.67373657226562,175.1699981689453,175.55999755859375,173.7100067138672,174.77999877929688,164230500,-0.0012543247928943346,-0.0012551121166793956
24,2014-02-06,144.55523681640625,177.47999572753906,177.47999572753906,175.22000122070312,175.5800018310547,132877600,0.013187432314759828,0.01310123511539366
25,2014-02-07,146.34710693359375,179.67999267578125,179.8699951171875,177.72999572753906,178.30999755859375,170787200,0.012395746820734521,0.012319548594205811
26,2014-02-10,146.61585998535156,180.00999450683594,180.07000732421875,179.2100067138672,179.6999969482422,92218800,0.0018364083676745135,0.0018347242313542119
27,2014-02-11,148.22036743164062,181.97999572753903,182.44000244140625,180.0399932861328,180.16000366210935,117814100,0.01094361446605685,0.010884166441529433
28,2014-02-12,148.29376220703125,182.07000732421875,182.8300018310547,181.7100067138672,182.25,94717700,0.000495173346702682,0.0004950507888376294
29,2014-02-13,149.05935668945312,183.00999450683597,183.1999969482422,180.8300018310547,180.83999633789065,100542200,0.005162688376285418,0.005149407391429123
30,2014-02-14,149.88194274902344,184.0200042724609,184.3600006103516,182.6699981689453,182.83999633789065,96498400,0.005518513415323945,0.005503342209575315
31,2014-02-18,150.06114196777344,184.2400054931641,184.4900054931641,183.6499938964844,184.17999267578125,80460900,0.0011956024552608469,0.0011948882918256926
32,2014-02-19,149.0675048828125,183.0200042724609,184.9499969482422,182.8699951171875,183.75999450683597,126524300,-0.006621548203160632,-0.0066435679103254075
33,2014-02-20,149.9471435546875,184.1000061035156,184.5200042724609,182.6000061035156,183.2700042724609,104998100,0.005900941808655968,0.0058835994422941455
34,2014-02-21,149.77609252929688,183.88999938964844,184.88999938964844,183.8000030517578,184.4499969482422,118116400,-0.0011407421397676698,-0.0011413932813192308
35,2014-02-24,150.60682678222656,184.91000366210935,186.1499938964844,184.1999969482422,184.27999877929688,114063900,0.005546507716291282,0.005531182483932425
36,2014-02-25,150.54978942871094,184.83999633789065,185.58999633789065,184.22999572753903,185.05999755859372,117085000,-0.00037871691963942133,-0.00037878865100319104
37,2014-02-26,150.5579833984375,184.8500061035156,185.6000061035156,184.3300018310547,185.1100006103516,98677200,5.442697567126231e-05,5.442549457716269e-05
38,2014-02-27,151.3480682373047,185.82000732421875,185.8699951171875,184.3699951171875,184.5800018310547,93880800,0.0052477113536801845,0.005233990098976673
39,2014-02-28,151.7309112548828,186.2899932861328,187.1499938964844,185.0500030517578,185.7899932861328,150842000,0.002529553380079097,0.0025263594449468512
40,2014-03-03,150.66387939453125,184.97999572753903,185.4499969482422,183.75,184.6499938964844,167748500,-0.007032396045912659,-0.007057239885982794
41,2014-03-04,152.78155517578125,187.5800018310547,187.97999572753903,186.75,186.7899932861328,167545900,0.014055630252985951,0.013957765846548835
42,2014-03-05,152.92002868652344,187.75,188.07000732421875,187.4499969482422,187.7400054931641,88376900,0.0009063496610102195,0.0009059391741672291
43,2014-03-06,153.27023315429688,188.17999267578125,188.6100006103516,187.77999877929688,188.2100067138672,82516500,0.002290115106447832,0.002287496789583481
44,2014-03-07,153.33544921875,188.25999450683597,188.9600067138672,187.42999267578125,188.9600067138672,114513500,0.00042549726134666344,0.0004254067630572295
45,2014-03-10,153.2539825439453,188.16000366210935,188.22999572753903,187.0800018310547,187.97000122070312,74939200,-0.0005312970693975849,-0.0005314382576963945
46,2014-03-11,152.49644470214844,187.22999572753903,188.7100067138672,186.8000030517578,188.44000244140625,99009100,-0.0049430222250808065,-0.004955279367673828
47,2014-03-12,152.53721618652344,187.27999877929688,187.3500061035156,185.8999938964844,186.32000732421875,104824400,0.00026736022898532497,0.0002673244946084623
48,2014-03-13,150.82679748535156,185.17999267578125,187.9900054931641,184.66000366210935,187.83999633789065,155014300,-0.011213123878439979,-0.011276464897576312
49,2014-03-14,150.40325927734375,184.66000366210935,185.8000030517578,184.44000244140625,184.8500061035156,153919600,-0.0028081097992480597,-0.0028120599362490713
50,2014-03-17,151.7634735107422,186.3300018310547,186.7700042724609,185.50999450683597,185.58999633789065,98359500,0.009043781630358128,0.00900313154046975
51,2014-03-18,152.84669494628906,187.66000366210935,187.91000366210935,186.50999450683597,186.7100067138672,101804600,0.007137563542061409,0.007112211697523182
52,2014-03-19,152.0322265625,186.66000366210935,187.94000244140625,185.47000122070312,187.67999267578125,176267300,-0.0053286620562863485,-0.00534291001351407
53,2014-03-20,152.92002868652344,187.75,187.88999938964844,185.9199981689453,186.25,117241000,0.005839565361219323,0.0058225811874676
54,2014-03-21,152.32687377929688,186.1999969482422,189.0200042724609,186.02999877929688,187.7100067138672,163128000,-0.0038788568922027977,-0.0038863991675196718
55,2014-03-24,151.69700622558594,185.42999267578125,187.07000732421875,184.6199951171875,186.83999633789065,121411000,-0.0041349732853018795,-0.0041435459272616834
56,2014-03-25,152.41690063476562,186.30999755859372,186.94000244140625,185.2700042724609,186.3699951171875,103852000,0.0047456072277995975,0.004734382332440379
57,2014-03-26,151.3206787109375,184.97000122070312,187.33999633789065,184.9199981689453,187.0399932861328,119843000,-0.007192259646159438,-0.0072182486335738765
58,2014-03-27,151.0015869140625,184.5800018310547,185.33999633789065,183.8999938964844,184.75,142383000,-0.002108712435030413,-0.0021109388996302697
59,2014-03-28,151.74607849121094,185.4900054931641,186.4199981689453,185.0,185.1100006103516,101642000,0.004930355980776069,0.004918241578288101
